"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"First, try to login with valid credential and check if the inventory page is displayedthen, check if the title of the page is 'Products'","1035","testInventoryPageDisplayed()","","Fri Feb 06 11:01:23 UTC 2026","passed","Fri Feb 06 11:01:24 UTC 2026","","fr.paul.selenium.tests.InventoryTest","fr.paul.selenium.tests.InventoryTest","testInventoryPageDisplayed"
"Login with valid credentials, add a product to cart, go to cart, go to checkout, fill informationsconfirm and check is the confirmation message is here","1783","testCompleteOrderFlow()","","Fri Feb 06 11:01:24 UTC 2026","passed","Fri Feb 06 11:01:26 UTC 2026","","fr.paul.selenium.tests.CheckoutCompleteTest","fr.paul.selenium.tests.CheckoutCompleteTest","testCompleteOrderFlow"
"Login with valid credentials, access to the inventory page and add one product to the cart, the go the cart and check there is one element in this last","1728","testCartWithOneProduct()","","Fri Feb 06 11:01:30 UTC 2026","passed","Fri Feb 06 11:01:32 UTC 2026","","fr.paul.selenium.tests.CartTest","fr.paul.selenium.tests.CartTest","testCartWithOneProduct"
"Type login information of an account that is locked out and check if the error message of the login contains 'locked out'","949","testLoginWithLockedUser()","","Fri Feb 06 11:01:32 UTC 2026","passed","Fri Feb 06 11:01:33 UTC 2026","","fr.paul.selenium.tests.LoginTest","fr.paul.selenium.tests.LoginTest","testLoginWithLockedUser"
"Try to login with nothing in the login input and check if an error message is displayed","880","testLoginWithEmptyCredentials()","","Fri Feb 06 11:01:35 UTC 2026","passed","Fri Feb 06 11:01:36 UTC 2026","","fr.paul.selenium.tests.LoginTest","fr.paul.selenium.tests.LoginTest","testLoginWithEmptyCredentials"
"Login with valid crendentials, add a product to cart, access cart, access checkout, fill informations with missing first nale, click continue and check error message is displayed","1611","testCheckoutWithMissingFirstName()","","Fri Feb 06 11:01:28 UTC 2026","passed","Fri Feb 06 11:01:29 UTC 2026","","fr.paul.selenium.tests.CheckoutTest","fr.paul.selenium.tests.CheckoutTest","testCheckoutWithMissingFirstName"
"Login with valid credentials, click the cart icon and access to the cart page and check itemscount is equal to zero","1026","testEmptyCart()","","Fri Feb 06 11:01:29 UTC 2026","passed","Fri Feb 06 11:01:30 UTC 2026","","fr.paul.selenium.tests.CartTest","fr.paul.selenium.tests.CartTest","testEmptyCart"
"Login with valid credentials, then add the backpack to the cart and chack the cart items count isequal to one","3729","testAddProductToCart()","","Fri Feb 06 11:01:19 UTC 2026","passed","Fri Feb 06 11:01:23 UTC 2026","","fr.paul.selenium.tests.InventoryTest","fr.paul.selenium.tests.InventoryTest","testAddProductToCart"
"Login with valid crendentials, add a product to cart, access cart, access checkout, fill informations, click continue and check onvrview page is displayed","1680","testCheckoutWithValidInformation()","","Fri Feb 06 11:01:26 UTC 2026","passed","Fri Feb 06 11:01:28 UTC 2026","","fr.paul.selenium.tests.CheckoutTest","fr.paul.selenium.tests.CheckoutTest","testCheckoutWithValidInformation"
"Type an incorrect password in the login page and check if an error message is displayed","926","testLoginWithInvalidPassword()","","Fri Feb 06 11:01:34 UTC 2026","passed","Fri Feb 06 11:01:35 UTC 2026","","fr.paul.selenium.tests.LoginTest","fr.paul.selenium.tests.LoginTest","testLoginWithInvalidPassword"
"Type an username and a password into the login input then submit and check if the inventory pageis displayed","970","testLoginWithValidCredentials()","","Fri Feb 06 11:01:33 UTC 2026","passed","Fri Feb 06 11:01:34 UTC 2026","","fr.paul.selenium.tests.LoginTest","fr.paul.selenium.tests.LoginTest","testLoginWithValidCredentials"
